19:09:56.996 INFO  Loading C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\mp_coop_catapult_1.bsp
19:09:57.035 INFO  Using 'DStaticPropV9' for sprp version 9
19:09:57.038 WARN  Lump LUMP_DISPINFO is empty
19:09:57.038 WARN  Lump LUMP_DISP_VERTS is empty
19:09:57.038 WARN  Lump LUMP_DISP_TRIS is empty
19:09:57.038 WARN  Lump LUMP_DISP_MULTIBLEND is empty
19:09:57.042 INFO  BSP version: 21
19:09:57.042 INFO  Game: Portal 2
19:09:57.043 INFO  Equal amount of areaporal entities and areaportal brushes. Using 'Ordered' method
19:09:57.043 INFO  No occluders to reallocate...
19:09:57.105 INFO  2581 (18.1%) exact brushside->origface matches
19:09:57.105 INFO  1/0 (nondisp/disp) original faces left after exact brushside->origface matching
19:09:57.125 INFO  235 (1.7%) partial brushside->origface matches
19:09:57.125 INFO  Writing brushes and planes
19:09:57.307 INFO  Writing displacements
19:09:57.307 INFO  Writing entities
19:09:57.376 INFO  Writing func_details
19:09:57.419 INFO  Writing func_viscluster
19:09:57.419 INFO  Writing info_overlays
19:09:57.420 INFO  Writing prop_statics
19:09:57.424 INFO  Writing env_cubemaps
19:09:57.424 INFO  Writing func_ladders
19:09:57.424 INFO  Finished decompiling C:\Program Files (x86)\Steam\steamapps\common\Portal 2\portal2\maps\mp_coop_catapult_1.bsp.
